WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:39:00,234.0,234.0,12.86,25.79,1743.73,1743.73
MON,08:44:00,609.44,609.44,18.61,25.79,1767.22,1767.22
MON,08:49:00,1111.0,1111.0,18.61,25.79,1896.07,1896.07
MON,08:54:00,609.44,609.44,32.03,32.03,1924.6,1924.6
MON,09:00:00,609.44,609.44,32.03,32.03,1933.93,1933.93
MON,09:05:00,609.44,609.44,38.52,38.52,1979.97,1979.97
MON,09:10:00,292.0,292.0,32.03,32.03,1965.0,1965.0
MON,09:15:00,468.0,468.0,32.03,32.03,1802.61,1802.61
MON,09:19:00,936.0,936.0,25.79,25.79,1845.7,1845.7
MON,09:25:00,409.0,409.0,25.79,25.79,1886.68,1886.68
MON,09:30:00,58.0,58.0,25.79,38.52,1902.09,1902.09
MON,09:34:00,292.0,468.0,32.03,32.03,1921.0,1921.0
MON,09:39:00,58.0,58.0,18.61,25.79,1930.24,1930.24
MON,09:44:00,292.0,292.0,25.79,25.79,1940.45,1940.45
MON,09:50:00,609.44,609.44,25.79,25.79,1979.97,1979.97
MON,09:54:00,117.0,117.0,25.79,25.79,1743.73,1743.73
MON,10:00:00,409.0,609.44,25.79,25.79,1831.78,1831.78
MON,10:05:00,1404.0,1404.0,32.03,25.79,1969.44,1969.44
MON,10:09:00,2223.0,2223.0,25.79,25.79,1964.0,1964.0
MON,10:14:00,409.0,409.0,25.79,25.79,1964.0,1964.0
MON,10:19:00,761.17,761.17,32.03,32.03,1996.05,1996.05
MON,10:24:00,409.0,409.0,25.79,25.79,1412.41,1412.41
MON,10:29:00,2340.0,2340.0,32.03,32.03,1609.06,1609.06
MON,10:34:00,468.0,468.0,25.79,25.79,1694.82,1694.82
MON,10:39:00,234.0,234.0,25.79,32.03,1694.82,1694.82
MON,10:45:00,1755.0,1755.0,25.79,25.79,1767.22,1767.22
MON,10:50:00,468.0,609.44,25.79,25.79,1782.53,1782.53
MON,10:54:00,409.0,409.0,18.61,32.03,1823.46,1823.46
MON,10:59:00,1053.0,1053.0,38.52,38.52,1823.46,1823.46
MON,11:04:00,292.0,292.0,38.52,38.52,1924.6,1924.6
MON,11:09:00,609.44,609.44,18.61,32.03,1936.45,1936.45
MON,11:14:00,2048.0,2048.0,32.03,32.03,1930.24,1930.24
MON,11:19:00,609.44,609.44,25.79,25.79,1930.24,1930.24
MON,11:25:00,1053.0,1053.0,25.79,25.79,1927.24,1927.24
MON,11:30:00,292.0,292.0,18.61,25.79,1938.0,1938.0
MON,11:34:00,292.0,292.0,18.61,25.79,1933.93,1933.93
MON,11:39:00,117.0,117.0,18.61,25.79,1927.24,1927.24
MON,11:45:00,409.0,409.0,25.79,25.79,1922.54,1922.54
MON,11:49:00,468.0,468.0,25.79,25.79,1922.54,1922.54
MON,11:54:00,1580.0,1580.0,18.61,25.79,1933.93,1933.93
MON,12:00:00,761.17,761.17,18.61,18.61,1940.45,1940.45
MON,12:04:00,761.17,761.17,18.61,18.61,1969.44,1969.44
MON,12:09:00,609.44,609.44,25.79,25.79,1990.82,1990.82
MON,12:14:00,409.0,409.0,32.03,32.03,1985.58,1985.58
MON,12:19:00,609.44,609.44,25.79,25.79,1996.05,1996.05
MON,12:24:00,468.0,468.0,18.61,18.61,1969.44,1969.44
MON,12:29:00,409.0,409.0,32.03,32.03,1985.58,1985.58
MON,12:34:00,936.0,936.0,25.79,25.79,1743.73,1743.73
MON,12:40:00,761.17,761.17,25.79,25.79,1793.68,1793.68
MON,12:45:00,609.44,609.44,25.79,25.79,1845.7,1845.7
MON,12:50:00,409.0,409.0,18.61,25.79,1902.09,1902.09
MON,12:54:00,609.44,609.44,18.61,25.79,1927.24,1927.24
MON,13:00:00,936.0,936.0,18.61,25.79,1902.09,1902.09
MON,13:04:00,936.0,936.0,18.61,32.03,1927.24,1927.24
MON,13:10:00,234.0,609.44,25.79,25.79,1936.45,1936.45
MON,13:15:00,761.17,761.17,25.79,25.79,1940.45,1940.45
MON,13:19:00,234.0,234.0,18.61,25.79,1930.24,1930.24
MON,13:24:00,1287.0,1287.0,12.86,18.61,1930.24,1930.24
MON,13:29:00,1697.0,609.44,25.79,25.79,1969.44,1969.44
MON,13:35:00,877.0,877.0,25.79,25.79,1927.24,1927.24
MON,13:40:00,877.0,877.0,18.61,25.79,1938.0,1938.0
MON,13:45:00,58.0,58.0,18.61,18.61,1933.93,1933.93
MON,13:50:00,1404.0,1404.0,25.79,32.03,1938.0,1938.0
MON,13:54:00,409.0,409.0,25.79,25.79,1948.0,1948.0
MON,14:00:00,609.44,609.44,25.79,25.79,1955.0,1955.0
MON,14:05:00,292.0,292.0,25.79,25.79,1946.42,1946.42
MON,14:10:00,234.0,234.0,18.61,32.03,1852.52,1852.52
MON,14:15:00,292.0,292.0,18.61,32.03,1912.42,1912.42
MON,14:20:00,609.44,609.44,18.61,18.61,1924.6,1924.6
MON,14:25:00,234.0,609.44,32.03,32.03,1927.24,1930.24
MON,14:29:00,609.44,609.44,18.61,32.03,1924.6,1924.6
MON,14:35:00,409.0,409.0,18.61,25.79,1927.24,1927.24
MON,14:40:00,117.0,117.0,18.61,32.03,1942.0,1942.0
MON,14:45:00,409.0,409.0,18.61,25.79,1930.24,1930.24
MON,14:49:00,468.0,468.0,18.61,25.79,1938.0,1938.0
MON,14:54:00,409.0,409.0,25.79,25.79,1936.45,1936.45
MON,15:00:00,409.0,409.0,25.79,25.79,1936.45,1936.45
MON,15:04:00,468.0,468.0,18.61,18.61,1951.92,1951.92
MON,15:10:00,292.0,292.0,25.79,25.79,1951.92,1951.92
MON,15:14:00,609.44,609.44,18.61,18.61,1966.47,1966.47
MON,15:19:00,292.0,292.0,25.79,25.79,1961.0,1961.0
MON,15:24:00,292.0,292.0,18.61,32.03,1958.5,1958.5
MON,15:29:00,468.0,468.0,12.86,32.03,1949.52,1949.52
MON,15:34:00,234.0,234.0,18.61,18.61,1933.93,1933.93
MON,15:40:00,58.0,58.0,18.61,32.03,1944.0,1944.0
MON,15:45:00,877.0,877.0,25.79,32.03,1975.94,1975.94
MON,15:49:00,761.17,761.17,18.61,25.79,1985.58,1985.58
MON,15:55:00,468.0,468.0,18.61,25.79,1985.58,1985.58
MON,16:00:00,468.0,468.0,18.61,32.03,1979.97,1979.97
MON,16:04:00,468.0,468.0,18.61,25.79,1955.0,1955.0
MON,16:10:00,1287.0,1287.0,25.79,25.79,1963.0,1963.0
MON,16:15:00,234.0,234.0,25.79,25.79,1955.0,1955.0
MON,16:19:00,702.0,702.0,18.61,25.79,1961.0,1961.0
MON,16:24:00,409.0,409.0,25.79,25.79,1969.44,1969.44
MON,16:29:00,609.44,609.44,18.61,18.61,1862.0,1862.0
MON,16:35:00,292.0,292.0,38.52,38.52,1880.1,1880.1
MON,16:40:00,58.0,58.0,18.61,25.79,1905.13,1905.13
MON,16:45:00,1053.0,1053.0,25.79,25.79,1927.24,1927.24
MON,16:50:00,1053.0,1053.0,18.61,18.61,1910.59,1910.59
MON,16:54:00,409.0,409.0,12.86,25.79,1919.0,1919.0
MON,16:59:00,609.44,609.44,12.86,25.79,1951.92,1951.92
MON,17:05:00,468.0,468.0,25.79,25.79,1975.94,1975.94
MON,17:09:00,409.0,409.0,25.79,25.79,1899.06,1899.06
MON,17:14:00,409.0,409.0,38.52,38.52,1927.24,1927.24
MON,17:19:00,234.0,234.0,18.61,18.61,1930.24,1930.24
MON,17:24:00,761.17,761.17,18.61,18.61,1930.24,1930.24
MON,17:29:00,468.0,468.0,18.61,18.61,1927.24,1927.24
