WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:40:00,1229.0,1229.0,608.45,608.45,2872.45,2872.45
MON,08:45:00,5589.17,5589.17,800.51,800.51,2907.54,2907.54
MON,08:50:00,117.0,117.0,553.85,553.85,2898.12,2898.12
MON,08:55:00,2224.0,2224.0,536.52,536.52,2890.58,2890.58
MON,09:00:00,5589.17,5589.17,667.75,667.75,2941.23,2941.23
MON,09:06:00,2341.0,2341.0,963.09,963.09,2936.37,2936.37
MON,09:10:00,1229.0,1229.0,732.14,732.14,2901.56,2901.56
MON,09:15:00,3781.83,3781.83,783.64,783.64,2966.24,2966.24
MON,09:20:00,4152.88,4152.88,879.02,879.02,2953.78,2953.78
MON,09:25:00,2575.0,2575.0,864.68,864.68,2915.04,2915.04
MON,09:30:00,2517.0,2517.0,829.29,829.29,2947.52,2947.52
MON,09:35:00,1463.0,1463.0,620.39,620.39,2960.55,2960.55
MON,09:40:00,2048.0,2048.0,747.36,747.36,2921.56,2921.56
MON,09:45:00,1463.0,1463.0,783.64,783.64,2960.55,2960.55
MON,09:50:00,3336.0,3336.0,899.64,899.64,2918.0,2918.0
MON,09:54:00,3781.83,3781.83,620.39,620.39,2918.0,2918.0
MON,10:01:00,1873.0,1873.0,963.09,963.09,2947.52,2947.52
MON,10:05:00,1697.0,1697.0,642.3,642.3,2947.52,2947.52
MON,10:10:00,1697.0,1697.0,717.83,717.83,2912.51,2912.51
MON,10:15:00,878.0,878.0,696.15,696.15,2941.23,2941.23
MON,10:20:00,1229.0,1229.0,570.82,570.82,2936.37,2936.37
MON,10:25:00,2048.0,2048.0,652.03,652.03,2915.04,2915.04
MON,10:30:00,1112.0,1112.0,608.45,608.45,2960.55,2960.55
MON,10:35:00,1287.0,1287.0,680.07,680.07,2960.55,2960.55
MON,10:40:00,2400.0,2400.0,642.3,642.3,2953.78,2953.78
MON,10:45:00,2341.0,2341.0,620.39,620.39,2953.78,2953.78
MON,10:50:00,2341.0,2341.0,632.58,632.58,2953.78,2953.78
MON,10:55:00,2048.0,2048.0,829.29,829.29,2928.15,2928.15
MON,11:00:00,1931.0,1931.0,843.44,843.44,2985.44,2985.44
MON,11:05:00,292.0,292.0,800.51,800.51,2966.24,2966.24
MON,11:10:00,643.0,643.0,553.85,553.85,2936.37,2936.37
MON,11:15:00,1697.0,1697.0,570.82,570.82,2977.73,2977.73
MON,11:20:00,1463.0,1463.0,620.39,620.39,2972.15,2972.15
MON,11:25:00,1112.0,1112.0,660.57,660.57,2941.23,2941.23
MON,11:30:00,1756.0,1756.0,492.83,492.83,2930.5,2930.5
MON,11:35:00,1229.0,1229.0,536.52,536.52,2936.37,2936.37
MON,11:40:00,1873.0,1873.0,553.85,553.85,2915.04,2915.04
MON,11:45:00,936.0,936.0,585.44,585.44,2947.52,2947.52
MON,11:50:00,643.0,4152.88,800.51,800.51,2788.97,2788.97
MON,11:55:00,936.0,936.0,462.28,462.28,2761.66,2761.66
MON,12:00:00,1873.0,1873.0,553.85,553.85,2791.5,2791.5
MON,12:05:00,878.0,878.0,553.85,553.85,2793.85,2793.85
MON,12:10:00,761.0,761.0,667.75,667.75,2771.44,2771.44
MON,12:15:00,1756.0,4152.88,505.04,505.04,2807.47,2807.47
MON,12:20:00,1756.0,1756.0,620.39,620.39,2800.07,2800.07
MON,12:25:00,585.0,4152.88,440.22,440.22,2775.93,2775.93
MON,12:30:00,1287.0,1287.0,536.52,536.52,2761.66,2761.66
MON,12:35:00,1463.0,1463.0,660.57,660.57,2785.66,2785.66
MON,12:40:00,1580.0,1580.0,481.9,481.9,2752.99,2752.99
MON,12:45:00,409.0,409.0,585.44,585.44,2791.5,2791.5
MON,12:50:00,1112.0,4806.67,492.83,492.83,2793.85,2793.85
MON,12:55:00,1697.0,1697.0,570.82,570.82,2771.44,2771.44
MON,13:00:00,585.0,4152.88,536.52,536.52,2800.07,2800.07
MON,13:05:00,643.0,643.0,536.52,536.52,2807.47,2807.47
MON,13:10:00,3161.0,3161.0,608.45,608.45,2780.88,2780.88
MON,13:15:00,4806.67,4806.67,707.37,707.37,2815.92,2815.92
MON,13:20:00,585.0,585.0,426.66,426.66,2815.92,2815.92
MON,13:25:00,2517.0,2517.0,553.85,553.85,2775.93,2775.93
MON,13:30:00,3542.3,3542.3,608.45,608.45,2771.44,2771.44
MON,13:35:00,936.0,936.0,707.37,707.37,2793.85,2793.85
MON,13:40:00,3336.0,3336.0,652.03,652.03,2775.93,2775.93
MON,13:45:00,2107.0,2107.0,667.75,667.75,2811.41,2811.41
MON,13:50:00,2341.0,2341.0,1080.89,1080.89,2813.51,2813.51
MON,13:55:00,936.0,936.0,374.3,374.3,2775.93,2775.93
MON,14:00:00,1463.0,1463.0,536.52,536.52,2800.07,2800.07
MON,14:05:00,761.0,761.0,536.52,536.52,2829.0,2829.0
MON,14:10:00,2341.0,2341.0,553.85,553.85,2768.07,2768.07
MON,14:15:00,4806.67,4806.67,963.09,963.09,2793.85,2793.85
MON,14:20:00,2400.0,2400.0,440.22,440.22,2802.0,2802.0
MON,14:25:00,1756.0,1756.0,899.64,899.64,2785.66,2785.66
MON,14:30:00,3781.83,3781.83,1371.25,1371.25,2775.93,2775.93
MON,14:35:00,4152.88,4152.88,1371.25,1371.25,2780.88,2780.88
MON,14:40:00,2751.0,2751.0,800.51,800.51,2761.66,2761.66
MON,14:45:00,3542.3,3542.3,1371.25,1371.25,2805.49,2805.49
MON,14:50:00,5589.17,5589.17,783.64,783.64,2791.5,2791.5
MON,14:55:00,4806.67,4806.67,1837.78,1837.78,2901.56,2901.56
MON,15:00:00,3395.67,3395.67,1837.78,1837.78,2872.45,2872.45
MON,15:05:00,2400.0,2400.0,696.15,696.15,2872.45,2872.45
MON,15:10:00,4152.88,4152.88,620.39,620.39,2844.97,2844.97
MON,15:15:00,2224.0,2224.0,553.85,553.85,2883.58,2883.58
MON,15:20:00,1756.0,1756.0,553.85,553.85,2883.58,2883.58
MON,15:25:00,2751.0,2751.0,505.04,505.04,2852.97,2852.97
MON,15:30:00,2107.0,2107.0,570.82,570.82,2844.97,2844.97
MON,15:35:00,2692.0,2692.0,800.51,800.51,2883.58,2883.58
MON,15:40:00,1580.0,1580.0,747.36,747.36,2861.58,2861.58
MON,15:46:00,4806.67,4806.67,696.15,696.15,2813.51,2813.51
MON,15:50:00,2575.0,2575.0,471.1,471.1,2815.92,2815.92
MON,15:55:00,585.0,585.0,426.66,426.66,2780.88,2780.88
MON,16:00:00,1287.0,1287.0,570.82,570.82,2809.45,2809.45
MON,16:05:00,1404.0,1404.0,553.85,553.85,2807.47,2807.47
MON,16:10:00,4152.88,4152.88,696.15,696.15,2788.97,2788.97
MON,16:15:00,292.0,292.0,642.3,642.3,2818.95,2818.95
MON,16:20:00,1053.0,1053.0,412.84,412.84,2797.1,2797.1
MON,16:25:00,761.0,761.0,481.9,481.9,2791.5,2791.5
MON,16:30:00,292.0,4152.88,462.28,462.28,2752.99,2752.99
MON,16:35:00,2107.0,2107.0,440.22,440.22,2800.07,2800.07
MON,16:40:00,2575.0,2575.0,462.28,462.28,2761.66,2761.66
MON,16:45:00,878.0,878.0,471.1,471.1,2809.45,2809.45
MON,16:50:00,1053.0,1053.0,518.78,518.78,2800.07,2800.07
MON,16:55:00,643.0,643.0,385.42,385.42,2768.07,2768.07
MON,17:00:00,1873.0,1873.0,398.54,398.54,2813.51,2813.51
MON,17:05:00,1931.0,1931.0,518.78,518.78,2821.92,2821.92
MON,17:10:00,2048.0,2048.0,536.52,536.52,2800.07,2800.07
MON,17:15:00,2048.0,2048.0,462.28,462.28,2836.47,2836.47
MON,17:20:00,878.0,878.0,412.84,412.84,2836.47,2836.47
MON,17:25:00,1580.0,1580.0,398.54,398.54,2802.0,2802.0
MON,17:30:00,468.0,468.0,385.42,385.42,2793.85,2793.85
MON,17:35:00,2751.0,2751.0,398.54,398.54,2832.0,2832.0
MON,17:40:00,1756.0,1756.0,1837.78,1837.78,2824.53,2824.53
MON,17:45:00,1463.0,1463.0,813.78,813.78,2839.01,2839.01
MON,17:50:00,2575.0,2575.0,440.22,440.22,2844.97,2844.97
MON,17:55:00,936.0,936.0,308.41,308.41,2803.0,2803.0
MON,18:00:00,761.0,761.0,536.52,536.52,2809.45,2809.45
MON,18:05:00,761.0,761.0,385.42,385.42,2818.95,2818.95
MON,18:10:00,1053.0,1053.0,374.3,374.3,2780.88,2780.88
MON,18:15:00,2692.0,2692.0,314.32,314.32,2815.92,2815.92
MON,18:20:00,468.0,468.0,302.05,302.05,2815.92,2815.92
MON,18:25:00,1229.0,1229.0,319.73,319.73,2791.5,2791.5
MON,18:30:00,643.0,643.0,302.05,302.05,2771.44,2771.44
MON,18:35:00,585.0,585.0,426.66,426.66,2815.92,2815.92
MON,18:40:00,1580.0,1580.0,398.54,398.54,2802.0,2802.0
MON,18:45:00,2048.0,2048.0,285.75,285.75,2761.66,2761.66
MON,18:50:00,1756.0,1756.0,308.41,308.41,2757.79,2757.79
MON,18:55:00,1580.0,1580.0,319.73,319.73,2734.06,2734.06
MON,19:00:00,468.0,468.0,294.42,294.42,2771.44,2771.44
MON,19:05:00,643.0,643.0,385.42,385.42,2768.07,2768.07
MON,19:10:00,878.0,878.0,355.74,355.74,2742.14,2742.14
MON,19:15:00,292.0,409.0,330.8,330.8,2785.66,2785.66
MON,19:20:00,292.0,292.0,330.8,330.8,2972.15,2972.15
MON,19:25:00,1229.0,1229.0,314.32,314.32,2947.52,2947.52
MON,19:30:00,2927.51,2927.51,294.42,294.42,2921.56,2921.56
MON,19:35:00,468.0,468.0,355.74,355.74,2966.24,2966.24
MON,19:39:00,2224.0,2224.0,324.79,324.79,2953.78,2953.78
MON,19:45:00,1229.0,1229.0,260.59,260.59,2995.08,2995.08
MON,19:50:00,878.0,878.0,308.41,308.41,2995.08,2995.08
MON,19:55:00,2868.0,2868.0,285.75,285.75,2966.24,2966.24
MON,20:00:00,1229.0,1229.0,374.3,374.3,3006.17,3006.17
MON,20:05:00,1229.0,1229.0,553.85,553.85,2995.08,2995.08
MON,20:10:00,409.0,409.0,570.82,570.82,2977.73,2977.73
MON,20:15:00,1053.0,1053.0,536.52,536.52,3018.48,3018.48
MON,20:20:00,1112.0,1404.0,680.07,680.07,2995.08,2995.08
MON,20:25:00,1931.0,1931.0,926.46,926.46,2699.43,2699.43
MON,20:30:00,1756.0,1756.0,717.83,717.83,2734.06,2734.06
MON,20:35:00,3336.0,3336.0,398.54,398.54,2771.44,2771.44
MON,20:40:00,1931.0,1931.0,492.83,492.83,2852.97,2852.97
MON,20:45:00,936.0,936.0,620.39,620.39,2818.95,2818.95
MON,20:50:00,1287.0,1287.0,518.78,518.78,2828.0,2828.0
MON,20:55:00,643.0,643.0,426.66,426.66,2590.45,2590.45
MON,21:00:00,1580.0,1580.0,365.16,365.16,2590.45,2590.45
MON,21:05:00,1756.0,1756.0,385.42,385.42,2590.45,2590.45
MON,21:10:00,1756.0,1756.0,385.42,385.42,2590.45,2590.45
MON,21:15:00,409.0,409.0,365.16,365.16,2647.18,2647.18
MON,21:20:00,409.0,409.0,426.66,426.66,2647.18,2647.18
MON,21:25:00,1580.0,1580.0,294.42,294.42,2647.18,2647.18
MON,21:30:00,468.0,468.0,274.19,274.19,2647.18,2647.18
MON,21:35:00,1287.0,1287.0,355.74,355.74,2681.89,2681.89
MON,21:40:00,1404.0,1404.0,260.59,260.59,2647.18,2647.18
MON,21:45:00,1053.0,1053.0,274.19,274.19,2681.89,2681.89
MON,21:50:00,1697.0,1697.0,274.19,274.19,2681.89,2681.89
MON,21:55:00,761.0,761.0,285.75,285.75,2647.18,2647.18
MON,22:00:00,234.0,234.0,302.05,302.05,2681.89,2681.89
MON,22:05:00,643.0,643.0,274.19,274.19,2681.89,2681.89
MON,22:10:00,936.0,761.0,260.59,260.59,2647.18,2647.18
MON,22:15:00,936.0,936.0,347.14,347.14,2699.43,2699.43
