WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:40:00,117.0,117.0,77.32,77.32,1687.99,1687.99
MON,08:45:00,117.0,117.0,96.8,96.8,1678.0,1678.0
MON,08:51:00,2692.0,2692.0,96.8,96.8,1693.04,1693.04
MON,08:54:00,258.6,258.6,130.98,130.98,1711.47,1711.47
MON,09:00:00,2517.0,2517.0,147.04,147.04,1721.49,1721.49
MON,09:06:00,1112.0,1112.0,130.98,130.98,1683.5,1683.5
MON,09:10:00,1404.01,1404.01,130.98,130.98,1717.08,1717.08
MON,09:15:00,1873.0,1873.0,222.05,222.05,1709.5,1709.5
MON,09:20:00,258.6,258.6,206.36,206.36,1707.0,1707.0
MON,09:25:00,2107.0,2107.0,147.04,147.04,1733.5,1733.5
MON,09:30:00,468.0,468.0,222.05,222.05,1719.5,1719.5
MON,09:35:00,643.0,643.0,424.82,424.82,1693.04,1693.04
MON,09:40:00,936.0,936.0,349.66,349.66,1696.58,1696.58
MON,09:45:00,4217.16,4217.16,402.04,402.04,1687.99,1687.99
MON,09:51:00,4449.0,4449.0,528.0,528.0,1709.5,1709.5
MON,09:55:00,258.6,258.6,289.16,289.16,1711.47,1711.47
MON,10:01:00,468.0,468.0,635.2,635.2,1729.56,1729.56
MON,10:05:00,643.0,643.0,424.82,424.82,1687.99,1687.99
MON,10:10:00,2224.0,2224.0,491.15,491.15,1729.56,1729.56
MON,10:15:00,258.6,258.6,440.32,440.32,1613.32,1613.32
MON,10:21:00,4039.0,4039.0,585.8,585.8,1713.83,1713.83
MON,10:25:00,1727.83,1727.83,626.0,626.0,1745.57,1745.57
MON,10:30:00,409.0,409.0,440.32,440.32,1742.96,1742.96
MON,10:35:00,409.0,409.0,567.67,567.67,1624.65,1624.65
MON,10:40:00,468.0,468.0,391.0,391.0,1739.9,1739.9
MON,10:45:00,1727.83,1727.83,378.48,378.48,1655.15,1655.15
MON,10:50:00,468.0,468.0,206.36,206.36,1678.0,1678.0
MON,10:54:00,2048.0,2048.0,77.32,77.32,1742.96,1742.96
MON,11:00:00,117.0,117.0,161.47,161.47,1709.5,1709.5
MON,11:05:00,1257.53,1257.53,96.8,96.8,1687.99,1687.99
MON,11:10:00,258.6,258.6,147.04,147.04,1719.5,1719.5
MON,11:15:00,2224.0,2224.0,96.8,96.8,1725.98,1725.98
MON,11:20:00,1549.95,1549.95,206.36,206.36,1729.56,1729.56
MON,11:26:00,258.6,258.6,161.47,161.47,1737.0,1737.0
MON,11:30:00,258.6,258.6,277.57,277.57,1719.5,1719.5
MON,11:35:00,643.0,643.0,222.05,222.05,1704.44,1704.44
MON,11:40:00,117.0,117.0,349.66,349.66,1701.0,1701.0
MON,11:45:00,258.6,258.6,161.47,161.47,1742.96,1742.96
MON,11:50:00,585.0,585.0,250.31,250.31,1619.57,1619.57
MON,11:55:00,1052.61,1052.61,250.31,250.31,1749.0,1749.0
MON,12:00:00,3830.88,3830.88,130.98,130.98,1719.5,1719.5
MON,12:05:00,2575.0,2575.0,114.88,114.88,1701.0,1701.0
MON,12:10:00,117.0,117.0,250.31,250.31,1630.19,1630.19
MON,12:15:00,58.0,58.0,289.16,289.16,1737.0,1737.0
MON,12:20:00,1112.0,1112.0,114.88,114.88,1709.5,1709.5
MON,12:25:00,1052.61,1052.61,96.8,96.8,1729.56,1729.56
MON,12:30:00,117.0,117.0,277.57,277.57,1729.56,1729.56
MON,12:35:00,1727.83,1727.83,528.0,528.0,1685.44,1685.44
MON,12:39:00,258.6,258.6,191.31,191.31,1717.08,1717.08
