WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:40:00,58.0,58.0,0.34,0.34,1574.08,1574.08
MON,08:46:00,58.0,58.0,0.34,0.34,1569.9,1569.9
MON,08:51:00,58.0,58.0,14.4,36.21,1569.9,1569.9
MON,08:55:00,58.0,58.0,0.34,0.34,1574.08,1574.08
MON,09:01:00,58.0,58.0,14.4,14.4,1569.9,1569.9
MON,09:06:00,234.0,234.0,14.4,14.4,1574.08,1574.08
MON,09:10:00,58.0,58.0,0.34,36.21,1579.1,1579.1
MON,09:16:00,58.0,58.0,14.4,14.4,1574.08,1574.08
MON,09:20:00,58.0,58.0,14.4,36.21,1579.1,1579.1
MON,09:25:00,58.0,58.0,0.34,36.21,1589.49,1589.49
MON,09:31:00,117.0,58.0,14.4,14.4,1584.73,1584.73
MON,09:36:00,58.0,58.0,0.34,0.34,1584.73,1584.73
MON,09:40:00,58.0,58.0,0.34,0.34,1589.49,1589.49
MON,09:46:00,58.0,58.0,0.34,36.21,1579.1,1579.1
MON,09:51:00,58.0,58.0,0.34,36.21,1601.03,1601.03
MON,09:55:00,58.0,58.0,0.34,14.4,1567.53,1567.53
MON,10:01:00,58.0,58.0,0.34,0.34,1574.08,1574.08
MON,10:05:00,117.0,117.0,36.21,61.0,1579.1,1579.1
MON,10:10:00,58.0,58.0,14.4,36.21,1589.49,1589.49
MON,10:16:00,58.0,58.0,0.34,0.34,1584.73,1584.73
MON,10:21:00,58.0,58.0,14.4,36.21,1589.49,1589.49
MON,10:25:00,58.0,58.0,0.34,36.21,1593.61,1593.61
MON,10:31:00,58.0,58.0,0.34,36.21,1589.49,1589.49
MON,10:35:00,58.0,58.0,0.34,0.34,1589.49,1589.49
MON,10:41:00,58.0,58.0,0.34,14.4,1593.61,1593.61
MON,10:46:00,58.0,58.0,0.34,36.21,1609.28,1609.28
MON,10:51:00,58.0,58.0,0.34,36.21,1584.73,1584.73
MON,10:56:00,58.0,117.0,14.4,14.4,1589.49,1589.49
MON,11:00:00,58.0,58.0,14.4,14.4,1597.38,1597.38
MON,11:05:00,58.0,58.0,0.34,0.34,1593.61,1593.61
MON,11:10:00,58.0,58.0,0.34,36.21,1601.03,1601.03
MON,11:15:00,58.0,58.0,0.34,0.34,1597.38,1597.38
MON,11:20:00,58.0,58.0,0.34,0.34,1597.38,1597.38
MON,11:26:00,58.0,58.0,0.34,0.34,1603.64,1603.64
MON,11:30:00,234.0,234.0,0.34,0.34,1601.03,1601.03
MON,11:36:00,58.0,58.0,0.34,0.34,1589.49,1589.49
MON,11:40:00,2083.64,2083.64,0.34,0.34,1593.61,1593.61
MON,11:45:00,58.0,58.0,0.34,0.34,1593.61,1593.61
MON,11:51:00,234.0,234.0,14.4,36.21,1589.49,1589.49
MON,11:55:00,58.0,58.0,0.34,0.34,1597.38,1597.38
MON,12:01:00,58.0,58.0,0.34,0.34,1606.18,1606.18
MON,12:05:00,58.0,117.0,0.34,0.34,1601.03,1601.03
MON,12:11:00,58.0,58.0,0.34,0.34,1601.03,1601.03
MON,12:16:00,58.0,58.0,14.4,14.4,1606.18,1606.18
MON,12:20:00,58.0,58.0,36.21,36.21,1603.64,1603.64
MON,12:25:00,58.0,58.0,14.4,14.4,1603.64,1603.64
MON,12:30:00,58.0,58.0,0.34,0.34,1645.55,1645.55
MON,12:35:00,58.0,58.0,0.34,0.34,1589.49,1589.49
MON,12:40:00,58.0,58.0,0.34,0.34,1589.49,1589.49
MON,12:46:00,234.0,234.0,0.34,0.34,1584.73,1584.73
MON,12:51:00,58.0,58.0,0.34,0.34,1589.49,1589.49
MON,12:55:00,58.0,58.0,0.34,0.34,1609.28,1609.28
MON,13:00:00,58.0,58.0,0.34,0.34,1584.73,1584.73
MON,13:05:00,58.0,58.0,14.4,14.4,1593.61,1593.61
MON,13:11:00,58.0,58.0,0.34,0.34,1597.38,1597.38
MON,13:16:00,58.0,58.0,0.34,0.34,1593.61,1593.61
MON,13:21:00,58.0,58.0,0.34,0.34,1593.61,1593.61
MON,13:26:00,58.0,58.0,0.34,0.34,1601.03,1601.03
MON,13:31:00,58.0,58.0,0.34,0.34,1597.38,1597.38
MON,13:36:00,58.0,58.0,228.02,228.02,1603.64,1603.64
MON,13:41:00,117.0,117.0,14.4,14.4,1601.03,1601.03
MON,13:46:00,58.0,58.0,0.34,61.0,1597.38,1597.38
MON,13:51:00,643.0,643.0,0.34,0.34,1601.03,1601.03
MON,13:55:00,117.0,117.0,0.34,36.21,1603.64,1603.64
MON,14:00:00,58.0,58.0,0.34,36.21,1601.03,1601.03
MON,14:06:00,58.0,58.0,0.34,0.34,1603.64,1603.64
MON,14:10:00,58.0,117.0,0.34,0.34,1603.64,1603.64
MON,14:16:00,58.0,58.0,14.4,14.4,1601.03,1601.03
MON,14:20:00,58.0,117.0,0.34,36.21,1597.38,1597.38
MON,14:26:00,58.0,58.0,0.34,0.34,1601.03,1601.03
MON,14:31:00,58.0,117.0,0.34,0.34,1597.38,1597.38
MON,14:36:00,58.0,58.0,0.34,0.34,1593.61,1593.61
MON,14:41:00,58.0,58.0,0.34,0.34,1597.38,1597.38
MON,14:46:00,58.0,58.0,14.4,0.34,1597.38,1597.38
MON,14:51:00,58.0,58.0,0.34,0.34,1597.38,1597.38
MON,14:56:00,234.0,234.0,0.34,0.34,1601.03,1601.03
MON,15:01:00,58.0,58.0,0.34,0.34,1597.38,1597.38
MON,15:05:00,58.0,58.0,0.34,0.34,1597.38,1597.38
MON,15:11:00,58.0,58.0,0.34,0.34,1603.64,1603.64
MON,15:15:00,58.0,58.0,0.34,0.34,1601.03,1601.03
MON,15:20:00,58.0,58.0,0.34,0.34,1601.03,1601.03
MON,15:25:00,58.0,58.0,0.34,0.34,1603.64,1603.64
MON,15:30:00,117.0,117.0,0.34,0.34,1601.03,1601.03
MON,15:35:00,58.0,58.0,0.34,0.34,1597.38,1597.38
MON,15:41:00,58.0,58.0,0.34,0.34,1601.03,1601.03
MON,15:46:00,2083.64,2083.64,0.34,0.34,1601.03,1601.03
MON,15:50:00,58.0,58.0,0.34,0.34,1597.38,1597.38
MON,15:55:00,58.0,58.0,0.34,0.34,1601.03,1601.03
MON,16:01:00,58.0,58.0,0.34,0.34,1603.64,1603.64
MON,16:05:00,292.0,292.0,0.34,0.34,1603.64,1603.64
MON,16:10:00,58.0,58.0,0.34,0.34,1603.64,1603.64
MON,16:16:00,58.0,58.0,0.34,0.34,1601.03,1601.03
MON,16:20:00,58.0,58.0,0.34,0.34,1601.03,1601.03
MON,16:25:00,58.0,58.0,0.34,0.34,1609.28,1609.28
MON,16:31:00,468.0,468.0,0.34,0.34,1606.18,1606.18
MON,16:35:00,58.0,58.0,14.4,14.4,1601.03,1601.03
MON,16:40:00,58.0,58.0,0.34,0.34,1606.18,1606.18
MON,16:45:00,409.0,409.0,0.34,0.34,1628.86,1628.86
MON,16:51:00,58.0,58.0,0.34,0.34,1597.38,1597.38
MON,16:55:00,58.0,234.0,0.34,0.34,1597.38,1597.38
MON,17:00:00,58.0,234.0,14.4,14.4,1597.38,1597.38
