WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:40:00,58.0,58.0,133.04,133.04,1659.82,1659.82
MON,08:46:00,58.0,58.0,133.04,133.04,1669.47,1669.47
MON,08:51:00,58.0,58.0,133.04,133.04,1686.82,1686.82
MON,08:55:00,117.0,58.0,133.04,133.04,1680.03,1680.03
MON,09:01:00,58.0,58.0,133.04,133.04,1680.03,1680.03
MON,09:06:00,58.0,58.0,133.04,133.04,1680.03,1680.03
MON,09:10:00,117.0,58.0,133.04,133.04,1680.03,1680.03
MON,09:16:00,58.0,58.0,468.78,133.04,1686.82,1686.82
MON,09:20:00,58.0,58.0,468.78,133.04,1691.59,1691.59
MON,09:25:00,58.0,58.0,133.04,133.04,1702.07,1702.07
MON,09:31:00,58.0,58.0,133.04,133.04,1707.4,1707.4
MON,09:36:00,58.0,58.0,133.04,133.04,1713.49,1713.49
MON,09:40:00,58.0,58.0,133.04,133.04,1709.96,1709.96
MON,09:46:00,58.0,58.0,468.78,133.04,1722.07,1722.07
MON,09:51:00,234.0,58.0,133.04,133.04,1752.0,1752.0
MON,09:55:00,58.0,58.0,133.04,133.04,1731.4,1731.4
MON,10:02:00,234.0,234.0,468.78,468.78,1722.07,1722.07
MON,10:06:00,58.0,58.0,133.04,133.04,1722.07,1722.07
MON,10:11:00,2467.07,2467.07,468.78,468.78,1717.47,1717.47
MON,10:16:00,58.0,58.0,133.04,133.04,1727.01,1727.01
MON,10:21:00,58.0,58.0,1296.1,1296.1,1727.01,1727.01
MON,10:25:00,3295.81,3295.81,133.04,133.04,1731.4,1731.4
MON,10:31:00,58.0,58.0,1296.1,1296.1,1727.01,1727.01
MON,10:35:00,58.0,58.0,737.62,737.62,1761.53,1761.53
MON,10:41:00,58.0,58.0,737.62,737.62,1759.49,1759.49
MON,10:46:00,58.0,58.0,1296.1,1296.1,1786.42,1786.42
MON,10:51:00,58.0,58.0,468.78,468.78,1750.54,1750.54
MON,10:56:00,58.0,58.0,1296.1,1296.1,1764.09,1764.09
MON,11:00:00,58.0,58.0,468.78,468.78,1761.53,1761.53
MON,11:06:00,58.0,58.0,468.78,468.78,1766.0,1766.0
MON,11:10:00,234.0,234.0,2110.72,2110.72,1764.09,1764.09
MON,11:16:00,58.0,58.0,133.04,133.04,1767.46,1767.46
MON,11:20:00,58.0,58.0,1296.1,1296.1,1767.46,1767.46
MON,11:26:00,234.0,234.0,737.62,737.62,1776.46,1776.46
MON,11:30:00,58.0,58.0,133.04,133.04,1776.46,1776.46
MON,11:36:00,409.0,409.0,133.04,133.04,1766.0,1766.0
MON,11:40:00,58.0,58.0,133.04,133.04,1794.02,1794.02
MON,11:45:00,58.0,58.0,1030.54,1030.54,1790.93,1790.93
MON,11:51:00,58.0,58.0,2472.77,2472.77,1764.09,1764.09
MON,11:55:00,58.0,58.0,133.04,468.78,1750.54,1750.54
MON,12:01:00,117.0,117.0,468.78,737.62,1824.63,1824.63
MON,12:05:00,292.0,292.0,133.04,468.78,1783.94,1783.94
MON,12:11:00,58.0,117.0,468.78,468.78,1790.93,1790.93
MON,12:16:00,58.0,117.0,468.78,737.62,1790.93,1790.93
MON,12:20:00,58.0,117.0,133.04,468.78,1783.94,1783.94
MON,12:25:00,58.0,58.0,133.04,468.78,1797.1,1797.1
MON,12:30:00,878.0,878.0,133.04,468.78,1797.1,1797.1
MON,12:35:00,58.0,58.0,133.04,737.62,1776.46,1776.46
MON,12:40:00,58.0,117.0,468.78,468.78,1783.94,1783.94
MON,12:46:00,58.0,58.0,468.78,468.78,1783.94,1783.94
MON,12:51:00,58.0,58.0,133.04,468.78,1786.42,1786.42
MON,12:55:00,234.0,234.0,133.04,737.62,1810.4,1810.4
MON,13:01:00,234.0,117.0,468.78,468.78,1815.15,1815.15
MON,13:05:00,58.0,58.0,133.04,468.78,1797.1,1797.1
MON,13:11:00,58.0,58.0,133.04,737.62,1797.1,1797.1
MON,13:16:00,58.0,117.0,133.04,468.78,1797.1,1797.1
MON,13:21:00,58.0,117.0,133.04,468.78,1800.11,1800.11
