WEEKDAY,TIME,CPU,PREDICTCPU,BW,PREDICTBW,MEM,PREDICTMEM
MON,08:40:00,205.0,205.0,43.32,43.32,475.5,475.5
MON,08:46:00,497.0,497.0,43.32,43.32,460.55,460.55
MON,08:51:00,234.0,234.0,43.32,43.32,445.59,445.59
MON,08:55:00,322.0,234.0,43.32,43.32,473.52,473.52
MON,09:01:00,234.0,292.0,43.32,43.32,470.0,470.0
MON,09:06:00,58.0,58.0,43.32,43.32,451.0,451.0
MON,09:10:00,146.0,146.0,43.32,43.32,469.0,469.0
MON,09:16:00,146.0,146.0,43.32,43.32,467.53,467.53
MON,09:20:00,468.0,468.0,43.32,43.32,448.0,448.0
MON,09:25:00,117.0,117.0,43.32,43.32,467.53,467.53
MON,09:31:00,380.0,380.0,43.32,43.32,471.0,471.0
MON,09:36:00,292.0,292.0,43.32,393.94,447.0,447.0
MON,09:40:00,1313.4,1313.4,43.32,393.94,472.0,472.0
MON,09:46:00,205.0,205.0,393.94,43.32,462.49,462.49
MON,09:51:00,292.0,292.0,43.32,393.94,464.99,464.99
MON,09:55:00,0.0,0.0,43.32,393.94,479.0,479.0
MON,10:02:00,234.0,234.0,43.32,43.32,477.57,477.57
MON,10:05:00,430.39,430.39,43.32,43.32,451.0,451.0
MON,10:11:00,205.0,205.0,43.32,43.32,483.46,483.46
MON,10:16:00,146.0,146.0,393.94,393.94,472.0,472.0
MON,10:21:00,702.0,702.0,43.32,43.32,453.48,453.48
MON,10:25:00,322.0,322.0,43.32,43.32,471.0,471.0
MON,10:31:00,234.0,234.0,43.32,43.32,475.5,475.5
MON,10:35:00,234.0,234.0,43.32,43.32,495.34,495.34
MON,10:41:00,430.39,430.39,43.32,43.32,477.57,477.57
MON,10:46:00,615.0,615.0,43.32,43.32,483.46,483.46
MON,10:51:00,430.39,430.39,43.32,43.32,445.59,445.59
MON,10:56:00,146.0,146.0,43.32,43.32,475.5,475.5
MON,11:00:00,430.39,430.39,43.32,43.32,467.53,467.53
MON,11:05:00,430.39,430.39,43.32,43.32,447.0,447.0
